outcome,body_part,technique,play_type,shot_location_start,player,statsbomb_xg,team
Saved,Right Foot,Normal,Open Play,"[111.0, 49.0]",Michael Amir Murillo Bermudez,0.324075,Panama
Off T,Head,Normal,Open Play,"[111.0, 38.0]",Román Aureliano Torres Morcillo,0.0471806,Panama
Off T,Right Foot,Normal,Open Play,"[99.0, 33.0]",Edgar Yoel Bárcenas Herrera,0.0724722,Panama
Blocked,Right Foot,Normal,Free Kick,"[94.0, 37.0]",Kevin De Bruyne,0.0643177,Belgium
Goal,Head,Normal,Open Play,"[114.0, 43.0]",Romelu Lukaku Menama,0.293165,Belgium
Goal,Left Foot,Lob,Open Play,"[110.0, 29.0]",Romelu Lukaku Menama,0.266947,Belgium
Blocked,Right Foot,Normal,Free Kick,"[95.0, 29.0]",Eden Hazard,0.0428189,Belgium
Saved,Right Foot,Normal,Free Kick,"[96.0, 19.0]",Fidel Escobar Mendieta,0.0426619,Panama
Saved,Right Foot,Normal,Open Play,"[113.0, 39.0]",Jesse Lingard,0.182987,England
Off T,Head,Normal,Open Play,"[108.0, 41.0]",Harry Maguire,0.0324405,England
Blocked,Right Foot,Normal,Open Play,"[97.0, 36.0]",Harry Kane,0.0284892,England
Saved,Head,Normal,Open Play,"[112.0, 47.0]",John Stones,0.0378236,England
Goal,Right Foot,Volley,Open Play,"[116.0, 46.0]",Harry Kane,0.255638,England
Saved,Right Foot,Volley,Open Play,"[94.0, 48.0]",Jordan Brian Henderson,0.01772,England
Off T,Right Foot,Normal,Open Play,"[91.0, 21.0]",Naïm Sliti,0.0109596,Tunisia
Off T,Right Foot,Half Volley,Open Play,"[116.0, 50.0]",Jesse Lingard,0.0784921,England
Blocked,Right Foot,Normal,Open Play,"[98.0, 46.0]",Ferjani Sassi,0.0472897,Tunisia
Wayward,Head,Normal,Open Play,"[108.0, 36.0]",Fakhreddine Ben Youssef,0.0442712,Tunisia
Saved,Head,Normal,Open Play,"[111.0, 58.0]",Harry Maguire,0.00796524,England
Goal,Right Foot,Normal,Penalty,"[108.0, 40.0]",Ferjani Sassi,0.76,Tunisia
Blocked,Head,Normal,Open Play,"[118.0, 47.0]",Bamidele Alli,0.115332,England
Wayward,Right Foot,Overhead Kick,Open Play,"[117.0, 37.0]",Raheem Shaquille Sterling,0.379022,England
Wayward,Left Foot,Normal,Open Play,"[114.0, 39.0]",John Stones,0.159463,England
Blocked,Left Foot,Half Volley,Open Play,"[106.0, 41.0]",Jesse Lingard,0.113129,England
Post,Right Foot,Half Volley,Open Play,"[108.0, 54.0]",Jesse Lingard,0.185095,England
Saved,Head,Normal,Open Play,"[112.0, 40.0]",Bamidele Alli,0.0686712,England
Wayward,Head,Normal,Open Play,"[106.0, 40.0]",John Stones,0.0143024,England
Off T,Right Foot,Normal,Free Kick,"[93.0, 27.0]",Kieran Trippier,0.0499177,England
Blocked,Right Foot,Normal,Open Play,"[106.0, 60.0]",Wahbi Khazri,0.0202385,Tunisia
